"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PGD38821096",177.705394973361,-0.49399534389642,0.111753555863673,-4.42039933386139,9.85186722016137e-06,2.97516923601304e-05
"PGD38821098",122.551178961178,-1.10451979540894,0.14458121910691,-7.63944170779334,2.18165650461582e-14,1.24828200524182e-13
"PGD38821100",149.303300575568,-0.172950721608892,0.146557856667471,-1.18008495444434,0.237966427992364,0.321083190176756
"PGD38821104",59.8164490989065,0.305108776204263,0.164935737845668,1.84986456052209,0.0643330728948867,0.104569714736935
"PGD38821106",374.912248354881,-2.12228308147899,0.101937866894094,-20.8193789623231,2.88905431114075e-96,2.08390802770808e-94
"PGD38821108",71.7373834987191,-1.88023520999974,0.155200014882429,-12.1149164284817,8.80538375265912e-34,1.132856389231e-32
"PGD38821112",948.404321224407,-1.29230034777629,0.173200954137399,-7.46127730192018,8.56876951217674e-14,4.74843650548837e-13
"PGD38821114",415.772568331551,-1.20886637168117,0.0913407851830446,-13.2346833811274,5.53294081376815e-40,8.75717251099995e-39
"PGD38821116",201.260586069415,-1.12993216860093,0.0945972466340513,-11.9446623322143,6.92309495325045e-33,8.62935348280509e-32
"PGD38821118",149.049799718329,-1.21049437426467,0.109766896808341,-11.0278636771363,2.8044775889012e-28,2.94503613154302e-27
"PGD38821120",351.015157777738,-2.18625301819591,0.105604544189686,-20.7022627195755,3.30484248251177e-95,2.30814395603997e-93
"PGD38821122",9.15980301238266,-0.100764670955341,0.358344974729904,-0.281194597555861,0.778561148091741,0.828585455695473
"PGD38821128",69.559410999754,0.15308017781497,0.142756416830303,1.07231731654444,0.283577531513761,0.371130618280949
"PGD38821130",184.92343522947,0.532485324860274,0.169067739391531,3.1495383257425,0.00163528657690043,0.00373391849421998
"PGD38821132",257.40989093497,-0.970652474055231,0.137040504432309,-7.08296045812271,1.41106949704762e-12,7.28721336503466e-12
"PGD38821138",111.685854917238,-0.903691770111749,0.159862036631458,-5.65294793657046,1.57719091588708e-08,6.15762203185728e-08
"PGD38821140",25.5458968368835,0.697316309930891,0.25140570357058,2.77366941174079,0.0055427972202827,0.0113698404518619
"PGD38821142",7642.96362511607,0.220961563116131,0.125041223977766,1.76710972659242,0.0772098538912722,0.123088172870144
"PGD38821144",16.9845918086958,0.00660038100523438,0.291277178256635,0.0226601378272726,0.981921373069649,0.987532352344333
"PGD38821146",3.46464500641374,0.236640088851623,0.583767968369405,0.40536668963289,0.685207992272615,0.753540406398277
"PGD38821148",105.793096428944,1.25535110261661,0.189989983715144,6.60745939374776,3.90971372980262e-11,1.83789961657388e-10
"PGD38821150",31.0189919857418,0.0487054933959067,0.221332964455542,0.220055306789559,0.825828081622152,0.865565402367192
"PGD38821152",21.3454572786426,-0.552679124014532,0.298151768109282,-1.85368387220819,0.0637844003818984,0.103791184053385
"PGD38821154",33.1946192349217,-0.570336443123912,0.270060427963037,-2.11188454164034,0.0346963535916048,0.0602224677724107
"PGD38821156",135.799493122047,1.25219749632488,0.163450871459997,7.66100226410441,1.8448760563035e-14,1.0597199279028e-13
"PGD38821160",10.2856252195829,1.00004311557782,0.35140901800086,2.84580948225799,0.00442986897772625,0.0092727990019008
"PGD38821162",19.4183103245426,1.03317546001974,0.395110395518425,2.61490325675717,0.00892527318116368,0.0175710076049755
"PGD38821164",18.0724616513564,0.407410472513386,0.277999705581454,1.46550684886972,0.142782685160088,0.210114988195448
"PGD38821170",22.9580549873699,-1.16234088364067,0.397730224270933,-2.92243539140461,0.00347305668042291,0.00747737563397165
"PGD38821172",17.781866327529,0.214449244840122,0.27606885024759,0.776796239951718,0.437278995496788,0.528579005545568
"PGD38821174",60.3891308387324,-0.256737310801602,0.159738904872527,-1.60723094356056,0.108003716451251,0.165869581984469
"PGD38821176",174.166850844709,-0.185426740822696,0.152700594601821,-1.21431577464522,0.224627164129339,0.305615189291618
"PGD38821178",43.2170326935652,0.0687551983083993,0.185688144912306,0.370272417449536,0.711179523304596,0.774360282737002
"PGD38821180",10.2758163582464,-0.39712916955656,0.35600647064705,-1.11551109965718,0.264631464636184,0.35027506543447
"PGD38821182",117.916258930869,-0.845861951663574,0.241471507326152,-3.50294724636427,0.000460140583893032,0.00114127315058024
"PGD38821184",13.1648684765812,0.818335253349386,0.315769373727589,2.59155992137273,0.00955419015267672,0.0186588711370517
"PGD38821186",13.7977613559122,0.494522919507802,0.294382956458474,1.67986260297498,0.0929840514016826,0.144773469981388
"PGD38821188",29.2992364357442,-0.76090320139665,0.254153084818676,-2.99387749686183,0.00275456518066581,0.0060427320374017
"PGD38821190",5.46866423001326,0.166822160259987,0.454795268350811,0.366807158889145,0.71376286728906,0.776404602242736
"PGD38821192",5.68763513742519,-1.02265492912252,0.462230237782576,-2.21243623962904,0.0269365372082093,0.047848511794962
"PGD38821194",114.800807070912,-1.4545062300472,0.30256468701274,-4.80725706759676,1.53015182351133e-06,5.08125888562254e-06
"PGD38821196",102.419938866377,0.0507305986448,0.139616068450539,0.363357879990525,0.716337561538546,0.77785914875854
"PGD38821198",56.6776437287638,1.64436222302736,0.207010965746387,7.94335805882815,1.9677984802958e-15,1.18769729949266e-14
"PGD38821200",40.4546253022126,0.00361836562508995,0.213261631017392,0.0169667914843756,0.986463108513405,0.989837554722687
"PGD38821202",46.5114417647844,-0.553326435622841,0.166875719660151,-3.31579954681071,0.00091381349368681,0.00217928421258643
"PGD38821204",40.7635763102487,1.50516730085317,0.207191300738145,7.26462595432732,3.74071924152083e-13,2.00477036086378e-12
"PGD38821206",20.5457218878661,0.650116113656197,0.288211720924573,2.2556893646471,0.024090092099058,0.0431933191670151
"PGD38821212",30.8451771242031,1.46599291742036,0.208814799564795,7.0205412665948,2.21010371562554e-12,1.13075073822702e-11
"PGD38821214",77.4363100730034,1.05135345746999,0.155855900114456,6.74567633755221,1.52315820353223e-11,7.31648045364828e-11
"PGD38821216",163.598076434387,-0.922513590265915,0.15772700311246,-5.84879933088031,4.95133979459082e-09,1.99687397765349e-08
"PGD38821218",77.6061974393855,-1.67208075491199,0.158297990612377,-10.5628678446488,4.42919352137366e-26,4.23661989000959e-25
"PGD38821220",189.352945288687,-1.95670037558729,0.144326874778303,-13.5574221959211,7.16087079821128e-42,1.19801640730531e-40
"PGD38821224",80.8487089049734,-0.174611671710447,0.13459411342939,-1.2973202710091,0.194521012462416,0.270937782473768
"PGD38821226",89.5832823655263,-0.749334737766378,0.118331952400005,-6.33248013379642,2.4125135841004e-10,1.07548731206097e-09
"PGD38821228",35.9844181960488,0.336562260976775,0.206239206292418,1.63190242547567,0.102700043008586,0.15833223168808
"PGD38821230",64.6164411424208,-1.36707139886466,0.168691328488718,-8.10398146195216,5.31892139150896e-16,3.28697389362913e-15
"PGD38821232",33.7345053845215,-1.7341169126643,0.20378897119502,-8.50937566687452,1.74872398094915e-17,1.16229388461877e-16
"PGD38821236",51.1076403304091,-1.61367992623484,0.192979592678747,-8.36192005504505,6.17056546553983e-17,4.01041182398453e-16
"PGD38821238",14.4450522535763,0.606737596682853,0.334270322206711,1.81511057481091,0.0695069184128963,0.111902832424714
"PGD38821240",99.0509312801825,-0.554632151741747,0.130584859670257,-4.24729293382296,2.16368981528226e-05,6.29645184341399e-05
"PGD38821242",55.1055909573852,-1.52191637310382,0.241234647977835,-6.30886311672632,2.81092581669929e-10,1.24427299733168e-09
"PGD38821246",38.0928776546291,-0.222631547472312,0.183372238535969,-1.21409625169975,0.224710971192453,0.30563470579499
"PGD38821248",119.434775666421,0.0431068132659954,0.127757383929216,0.337411521277538,0.735806700644725,0.79429575143199
"PGD38821250",62.3983617102185,-0.49972517126971,0.159442562403322,-3.13420183254216,0.00172322283688593,0.00392452405916051
"PGD38821252",50.8076391098098,-0.371263948262724,0.163424820857572,-2.27177209872109,0.0231002788956872,0.0415540585204512
"PGD38821254",23.2032554241774,0.118564634630447,0.24451724248287,0.484892735688173,0.627752435612699,0.702827154375541
"PGD38821256",116.363488076379,0.647496285529447,0.149201504764907,4.33974366779807,1.42649013731929e-05,4.21811599744952e-05
"PGD38821258",24.495786677238,-0.296639370140353,0.214497944019771,-1.38294738206447,0.166681000356021,0.239593728051778
"PGD38821260",17.2824918238202,-0.281340213843367,0.271865218662038,-1.03485181086407,0.300738122365094,0.390568990084538
