"","citrate_1","citrate_2","citrate_3","citrate_4","citrate_5","citrate_6","ferulic_acid_1","ferulic_acid_2","ferulic_acid_3","ferulic_acid_4","ferulic_acid_5","ferulic_acid_6","glucose_1","glucose_2","glucose_3","glucose_4","glucose_5","glucose_6","serine_1","serine_2","serine_3","serine_4","serine_5"
"PGD38821096",7.1561135948167,6.92763648477036,6.9796516983757,6.99655885941752,7.1884395209341,7.12322301971578,7.54116315734268,7.50025327598496,7.76657230239845,7.66649802209305,7.61313707935967,7.55999497468172,7.66712709830172,7.46542280528527,7.70637525018937,7.75982072516889,7.88871076858754,7.72900943686211,7.33627594007265,7.42424906791387,7.1910374906927,7.361559585559,7.31817130998859
"PGD38821098",6.81630400067738,6.75870619766456,6.83515421021177,7.09501073034732,6.76546344580098,6.73618433336964,6.78450270870802,6.99831509605117,7.04767565871092,7.01939337415812,6.68044779320234,6.81306511044569,7.112432323064,7.12384096761601,7.21310433064845,7.02219341011698,7.65591671114113,7.47689587568548,6.44663839707086,6.39065363409842,6.3978936005375,6.59034598385047,6.33399225109973
"PGD38821100",6.77877572112577,6.77363746196828,6.78620852879289,6.8409653215065,6.78361784777942,6.88572982956409,7.09250930806553,7.34749747229416,7.63002949883192,7.58836495633803,7.70155656559621,7.41391535855205,7.5189518260876,7.44630237360284,7.09615575836497,7.35577540517851,7.15799634575331,7.02004077666762,7.19829200163803,6.94250409477803,7.36139771527057,7.13450128876565,7.16875656846962
"PGD38821104",6.38289392517112,6.33684223966517,6.40520949520188,6.46035315699886,6.18038289764799,6.40674108145758,5.55529116496793,5.73458003682388,5.67816401459562,5.89347578108616,5.37429653393311,5.28265570569737,5.79976665831212,5.52649204783775,5.3562543769705,5.60355541148359,5.74722040353905,5.41711611868919,5.96498555122098,5.68064283281582,5.7184560668364,6.02595027062431,5.82403958994243
"PGD38821106",8.16110864743997,8.05180480196385,8.03906815627083,8.01782725720126,8.2972570156589,8.23017533813227,8.50790977766076,8.49968397598429,8.38582960512593,8.48651195052216,8.49435917368812,8.49669110040845,9.13940244145623,8.95021577492496,8.94748854231629,9.09534684729988,9.28942555695602,9.14986938747128,7.69799411203447,7.57514435544989,7.70672797692184,7.63568475637334,7.63678921498171
"PGD38821108",5.76794118549108,5.88037284111777,5.94617714795941,5.77962924539228,5.93451849126591,6.03670091400352,6.07130779422107,6.08749747757353,6.20420088338838,5.93476195792167,6.10025807563537,6.32873555719459,6.92890375898217,6.82231690025052,6.31367360397064,6.5563563131117,6.68244298549606,6.82099179627599,5.37568949439612,5.43621793964883,5.18528146462407,5.19366950515852,5.2826868195418
"PGD38821112",8.69711786715013,8.70932134028265,8.7327484759328,8.74538854127531,8.94607261220555,8.9340339726825,9.92148723120076,9.9149577161566,10.5548387243044,10.5979042370926,10.1929010087035,10.2255343267417,10.2539821045089,10.1722279859825,10.0808215241374,10.1147964947239,9.9676904769287,10.0233765483921,9.30070103744943,9.3907466289793,9.47483491198226,9.12229666857844,9.10512069884266
"PGD38821114",8.72265907244991,8.65275533662117,8.61952527114018,8.61922015311503,8.81044698584719,8.79670328588189,8.56925352195095,8.6496966793623,8.64909855850289,8.60640480887967,8.62499410706822,8.58751365081757,8.90968367370025,9.20940851501785,8.99000815186318,9.0269538991677,8.91972396490043,8.91207962201111,8.24868463002481,8.24337809177429,8.1748593027322,8.09385228416929,8.19927650637653
"PGD38821116",7.62479853505742,7.59800073531395,7.69665189158664,7.7328466411683,7.74637061288113,7.65271569482667,7.51633494564393,7.48014488229332,7.75247154573859,7.57905083539328,7.60398115602255,7.56736075001662,7.95161888507363,7.91274298908654,7.84479840901497,8.00830941050111,8.02429247138722,7.96180703897493,7.20568297101735,7.2134630528984,7.12980284176138,6.98666295710983,7.04750375168127
"PGD38821118",7.29964868765714,7.12967326237096,7.13042073232733,7.17080471052566,6.98170564576473,7.20139991007555,7.18335499241815,7.19618806711596,7.28328345143165,7.15893212316625,7.09828939347582,7.10025968882448,7.49343844304301,7.70377702695841,7.42952928982773,7.46310162710998,7.67568199774273,7.64716663649954,6.82274661419253,6.60649061908351,6.62906680685415,6.6739606317038,6.63991305325217
"PGD38821120",8.61304204925907,8.53321493229289,8.53561682996771,8.62123385244744,8.53304843743035,8.58800763291027,8.1567516262332,8.15624916920325,8.08290013432377,8.04170866953636,8.22089195795515,8.21433526192442,8.80759979594229,8.89636554947425,8.75390884584384,8.64012685679528,8.99634163533718,9.10974277420284,7.3772187196224,7.35514909649586,7.52253154174683,7.27810070301395,7.42451385498684
